file_path,tempo,time_signature,c_diatonic,note_num,note_density,average_interval,syncopation_16th,syncopation_8th
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-022-of-1024.mid,120,4/4 at 0.00 seconds,0.7926829268292683,82,0.3203125,2.7160493827160495,0.0,0.04878048780487805
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-023-of-1024.mid,120,4/4 at 0.00 seconds,0.6410256410256411,39,0.156,5.368421052631579,0.0,0.0
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-024-of-1024.mid,120,4/4 at 0.00 seconds,0.2777777777777778,72,0.28125,1.6338028169014085,0.2222222222222222,0.4305555555555556
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-025-of-1024.mid,120,4/4 at 0.00 seconds,0.9375,48,0.1875,2.3617021276595747,0.0,0.20833333333333334
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-026-of-1024.mid,120,4/4 at 0.00 seconds,0.7974683544303798,79,0.30980392156862746,2.9743589743589745,0.0,0.06329113924050633
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-027-of-1024.mid,120,4/4 at 0.00 seconds,0.5238095238095238,63,0.24609375,2.6774193548387095,0.031746031746031744,0.31746031746031744
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-028-of-1024.mid,120,4/4 at 0.00 seconds,0.08974358974358974,78,0.3046875,4.3896103896103895,0.0,0.02564102564102564
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-029-of-1024.mid,120,4/4 at 0.00 seconds,1.0,37,0.14453125,2.611111111111111,0.21621621621621623,0.08108108108108109
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-030-of-1024.mid,120,4/4 at 0.00 seconds,0.8203125,128,0.5,4.4015748031496065,0.0,0.0
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-031-of-1024.mid,120,4/4 at 0.00 seconds,0.7567567567567568,74,0.2890625,3.0,0.527027027027027,0.0
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-032-of-1024.mid,120,4/4 at 0.00 seconds,0.7906976744186046,86,0.3359375,2.7294117647058824,0.09302325581395349,0.03488372093023256
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-033-of-1024.mid,120,4/4 at 0.00 seconds,0.9514563106796117,103,0.40234375,1.5392156862745099,0.0,0.02912621359223301
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-034-of-1024.mid,120,4/4 at 0.00 seconds,0.72,75,0.29296875,1.7432432432432432,0.013333333333333334,0.10666666666666667
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-035-of-1024.mid,120,4/4 at 0.00 seconds,0.7142857142857143,63,0.24609375,3.129032258064516,0.047619047619047616,0.25396825396825395
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-036-of-1024.mid,120,4/4 at 0.00 seconds,0.5535714285714286,56,0.21875,1.8909090909090909,0.0,0.07142857142857142
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-037-of-1024.mid,120,4/4 at 0.00 seconds,0.9642857142857143,84,0.3333333333333333,2.1686746987951806,0.023809523809523808,0.0
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-038-of-1024.mid,120,4/4 at 0.00 seconds,0.9464285714285714,56,0.2222222222222222,3.9454545454545453,0.0,0.23214285714285715
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-039-of-1024.mid,120,4/4 at 0.00 seconds,0.27586206896551724,58,0.22924901185770752,5.228070175438597,0.0,0.2413793103448276
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-040-of-1024.mid,120,4/4 at 0.00 seconds,0.9850746268656716,67,0.26693227091633465,1.606060606060606,0.0,0.11940298507462686
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-041-of-1024.mid,120,4/4 at 0.00 seconds,0.9487179487179487,78,0.312,1.3636363636363635,0.05128205128205128,0.28205128205128205
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-042-of-1024.mid,120,4/4 at 0.00 seconds,0.2647058823529412,34,0.1328125,4.121212121212121,0.0,0.17647058823529413
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-043-of-1024.mid,120,4/4 at 0.00 seconds,0.20754716981132076,106,0.4140625,5.828571428571428,0.009433962264150943,0.11320754716981132
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-044-of-1024.mid,120,4/4 at 0.00 seconds,1.0,65,0.2589641434262948,2.9375,0.0,0.13846153846153847
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-045-of-1024.mid,120,4/4 at 0.00 seconds,0.9583333333333334,48,0.18972332015810275,5.085106382978723,0.0,0.0625
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-046-of-1024.mid,120,4/4 at 0.00 seconds,0.9333333333333333,45,0.17578125,2.772727272727273,0.0,0.2
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-047-of-1024.mid,120,4/4 at 0.00 seconds,0.26666666666666666,45,0.17578125,2.340909090909091,0.0,0.26666666666666666
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-048-of-1024.mid,120,4/4 at 0.00 seconds,0.6534653465346535,101,0.396078431372549,1.91,0.0,0.0
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-049-of-1024.mid,120,4/4 at 0.00 seconds,0.5983606557377049,122,0.48031496062992124,5.198347107438017,0.0,0.01639344262295082
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-050-of-1024.mid,120,4/4 at 0.00 seconds,0.5517241379310345,58,0.232,3.8947368421052633,0.3620689655172414,0.0
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-051-of-1024.mid,120,4/4 at 0.00 seconds,0.8888888888888888,45,0.17647058823529413,3.7954545454545454,0.06666666666666667,0.28888888888888886
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-052-of-1024.mid,120,4/4 at 0.00 seconds,0.6727272727272727,55,0.21653543307086615,3.685185185185185,0.0,0.10909090909090909
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-053-of-1024.mid,120,4/4 at 0.00 seconds,0.5294117647058824,153,0.59765625,1.4210526315789473,0.0,0.0
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-054-of-1024.mid,120,4/4 at 0.00 seconds,0.9894736842105263,95,0.37254901960784315,2.148936170212766,0.0,0.18947368421052632
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-055-of-1024.mid,120,4/4 at 0.00 seconds,0.609375,64,0.25,2.873015873015873,0.0,0.25
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-056-of-1024.mid,120,4/4 at 0.00 seconds,0.704225352112676,71,0.27734375,2.085714285714286,0.0,0.14084507042253522
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-057-of-1024.mid,120,4/4 at 0.00 seconds,0.6704545454545454,88,0.34375,3.6091954022988504,0.07954545454545454,0.0
